City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kirakira,SB,83.98,broken clouds,-10.4544,161.9205,SanBiz Lodge
2,Vao,NC,75.67,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
6,Rikitea,PF,78.75,overcast clouds,-23.1203,-134.9692,Pension Maro'i
16,Vaini,TO,82.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
21,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
22,Avarua,CK,84.2,few clouds,-21.2078,-159.775,Paradise Inn
33,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
35,Kavieng,PG,80.15,light rain,-2.5744,150.7967,Nusa Island Retreat
37,Hilo,US,80.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
38,Butaritari,KI,82.15,light rain,3.0707,172.7902,Isles Sunset Lodge
46,Bosaso,SO,83.21,clear sky,11.2842,49.1816,Red Sea Hotel
47,Katobu,ID,76.3,few clouds,-4.9408,122.5276,La Ode Husein
50,Kapaa,US,80.6,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
51,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
53,Faanui,PF,80.17,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
54,Atar,MR,80.76,clear sky,20.5169,-13.0499,Oumou Elghoura
56,Labuhan,ID,75.51,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
62,Puerto Ayora,EC,84.2,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
69,Ransang,PH,79.7,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
72,Tarauaca,BR,75.51,broken clouds,-8.1614,-70.7656,Flat Temporada
73,Samarai,PG,83.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
78,Sakakah,SA,77.0,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
81,Tabou,CI,80.56,overcast clouds,4.423,-7.3528,hotêl doufoulougou
85,Boa Vista,BR,84.2,light rain,2.8197,-60.6733,Aipana Plaza Hotel
89,Atuona,PF,80.29,scattered clouds,-9.8,-139.0333,Villa Enata
92,Palauig,PH,78.85,few clouds,15.435,119.9045,Myhousebythesea
98,Formosa,AR,78.8,broken clouds,-26.1775,-58.1781,Hotel Portal del Sol
109,San Cristobal,VE,87.8,few clouds,7.7669,-72.225,Posada Villaven C.A.
112,Saint-Leu,RE,77.0,light rain,-21.15,55.2833,La Caz Oceane
118,Harper,LR,81.18,overcast clouds,4.375,-7.7169,Screensaver
120,Pontianak,ID,75.2,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
126,Lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
132,Dhidhdhoo,MV,83.05,clear sky,6.8833,73.1,Dhidhoo beach
136,Esmeralda,CU,87.8,few clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
140,Victoria,HK,78.01,scattered clouds,22.2855,114.1577,Mini Hotel Central
143,Cabo San Lucas,MX,84.2,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
144,Iquitos,PE,80.6,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
147,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Tanna Lodge
148,Isabela,PH,75.2,broken clouds,6.7085,121.9711,Isawad Resort
152,Kantabanji,IN,80.87,scattered clouds,20.4833,82.9167,Kamdhenu Borewell And Trading
160,Taoudenni,ML,89.47,clear sky,22.6783,-3.9836,
161,Wewak,PG,80.42,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
164,Orange Cove,US,80.01,clear sky,36.6244,-119.3137,
165,Namibe,AO,78.04,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
171,Nizwa,OM,77.38,clear sky,22.9333,57.5333,Orient Apartments
