City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Barahona,DO,82.4,scattered clouds,18.2085,-71.1008,Hotel Caribe
9,Atuona,PF,80.47,few clouds,-9.8,-139.0333,Villa Enata
14,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
26,Hilo,US,84.2,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
31,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
35,Cayenne,GF,80.01,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
58,Bonthe,SL,81.39,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
61,Mogadishu,SO,82.69,overcast clouds,2.0371,45.3438,Hotel Juba
68,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
69,Hithadhoo,MV,81.97,scattered clouds,-0.6,73.0833,Scoop Guest House
72,Namatanai,PG,84.09,overcast clouds,-3.6667,152.4333,Namatanai Hotel
85,Arawa,PG,84.2,broken clouds,-6.2132,155.5367,Coastline Guest House
91,Sweetwater,US,89.6,broken clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
96,Sola,VU,84.2,broken clouds,-13.8833,167.55,Leumerus Bungalows
98,Butaritari,KI,83.17,broken clouds,3.0707,172.7902,Isles Sunset Lodge
101,Agadez,NE,84.79,broken clouds,19.75,10.25,
116,Mankono,CI,81.72,overcast clouds,8.0586,-6.1897,Hotel Cajoux
117,Morant Bay,JM,84.2,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
118,Alofi,NU,80.6,scattered clouds,-19.0595,-169.9187,Taloa Heights
125,Tessalit,ML,83.88,clear sky,20.1986,1.0114,
139,Gayeri,BF,89.67,broken clouds,12.6497,0.4931,
162,Port Blair,IN,80.47,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
165,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
177,Mecca,SA,85.73,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
198,Port Hueneme,US,84.2,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
203,Andros Town,BS,82.4,broken clouds,24.7,-77.7667,Hanks place
215,Pindiga,NG,85.1,overcast clouds,9.9833,10.9333,Accommodation Center
232,Samarai,PG,83.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
238,Wamba,NG,81.54,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
242,Cockburn Town,TC,80.6,few clouds,21.4612,-71.1419,Osprey Beach Hotel
244,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
248,Sohag,EG,80.6,clear sky,26.557,31.6948,Civil Registry - Sohag 1
250,Tiarei,PF,87.8,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
254,Oranjestad,AW,82.4,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
264,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
267,Nhulunbuy,AU,82.4,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
296,Sur,OM,81.68,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
308,Keffi,NG,80.6,few clouds,8.8486,7.8736,Imam Family
313,Atar,MR,81.68,broken clouds,20.5169,-13.0499,Oumou Elghoura
315,Santa Maria Del Rio,MX,86.0,clear sky,21.8,-100.75,Hotel Restaurante La Puesta del Sol
320,Portland,US,82.99,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
324,Sumbe,AO,80.46,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
331,Raga,SS,80.6,overcast clouds,8.4596,25.678,
338,Kantunilkin,MX,86.0,scattered clouds,21.0917,-87.45,Posada Paraiso
346,Beboto,TD,82.94,broken clouds,8.2668,16.939,
361,Namibe,AO,81.28,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
362,Bilma,NE,86.11,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
365,Half Moon Bay,US,80.6,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
367,Am Timan,TD,89.51,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
369,Barquisimeto,VE,82.22,overcast clouds,10.0739,-69.3228,Hotel Príncipe
373,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
380,Bathsheba,BB,80.6,scattered clouds,13.2167,-59.5167,Atlantis Hotel
390,Guanica,PR,82.99,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
391,Popondetta,PG,80.35,overcast clouds,-8.7537,148.2534,Timos Transit House
401,San Pedro,PH,80.6,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
406,Saint-Georges,GD,82.4,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
407,Harper,LR,80.85,overcast clouds,4.375,-7.7169,Screensaver
408,Puerto Colombia,CO,82.4,broken clouds,10.9878,-74.9547,Hotel El Emigrante
413,Tautira,PF,87.8,few clouds,-17.7333,-149.15,Pension Oaoa
417,Grand-Lahou,CI,81.09,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
418,Freetown,SL,80.1,scattered clouds,8.484,-13.2299,The Country Lodge Hotel
423,El Tigre,VE,87.69,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
426,Dhidhdhoo,MV,83.82,overcast clouds,6.8833,73.1,Dhidhoo beach
435,Pangai,TO,82.4,few clouds,-19.8,-174.35,Ha'apai Beach Resort
441,The Valley,AI,82.4,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
448,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
452,Faanui,PF,82.69,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
457,Cruces,CU,86.0,few clouds,22.3411,-80.2667,Motel Maltiempo
470,Taoudenni,ML,82.62,clear sky,22.6783,-3.9836,
472,Trat,TH,80.01,broken clouds,12.5,102.5,สวนหนิง-อัศ
484,Bombay,IN,84.2,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
493,Kavaratti,IN,83.26,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
500,Kavieng,PG,83.86,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
504,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
521,Noumea,NC,80.6,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
530,Vanimo,PG,80.91,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
539,Bosaso,SO,81.25,broken clouds,11.2842,49.1816,Red Sea Hotel
556,Coahuayana,MX,82.4,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
557,Wad Madani,SD,89.65,clear sky,14.4012,33.5199,فندق يوغسلافيا
565,Cabo Rojo,PR,84.0,few clouds,18.0866,-67.1457,Hotel Perichi's
584,Bara,NG,83.28,overcast clouds,10.3744,10.7288,
585,Phuket,TH,87.01,light rain,8.0,98.25,The Surin Phuket
589,San Andres,CO,84.2,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
599,Ler,SS,85.32,overcast clouds,8.3018,30.1418,
612,Puerto Quijarro,BO,81.37,overcast clouds,-17.7833,-57.7667,Hotel palance
617,Aron,IN,80.74,scattered clouds,24.3833,77.4167,Shri Ram marriage garden aron
618,Santa Rosa,PH,81.0,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
628,Eugene,US,82.0,clear sky,44.0521,-123.0867,Valley River Inn
629,Arlit,NE,86.04,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
630,Key Biscayne,US,88.0,broken clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
637,Ugoofaaru,MV,83.53,overcast clouds,5.6667,73.0,Ungoofaaru Inn
650,Mongo,TD,88.68,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
665,Birao,CF,80.17,broken clouds,10.2849,22.7882,
677,Orocue,CO,83.08,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
680,Eyl,SO,81.16,scattered clouds,7.9803,49.8164,Amiin Hotel
684,Thiruvananthapuram,IN,80.6,mist,8.4833,76.9167,Hotel Residency Tower
689,Kismayo,SO,81.0,broken clouds,-0.3582,42.5454,Agan-Hotel
691,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
694,Lorengau,PG,81.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
