City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.0,75,68,2.24,broken clouds
1,Kirakira,SB,-10.4544,161.9205,83.98,71,65,4.81,broken clouds
2,Vao,NC,-22.6667,167.4833,75.67,76,84,13.73,broken clouds
3,Vydrino,RU,51.485,104.8461,28.38,88,100,4.21,light snow
4,Kaitangata,NZ,-46.2817,169.8464,53.01,76,38,1.99,scattered clouds
5,Arraial Do Cabo,BR,-22.9661,-42.0278,74.88,77,13,15.41,few clouds
6,Rikitea,PF,-23.1203,-134.9692,78.75,68,100,17.11,overcast clouds
7,Talnakh,RU,69.4865,88.3972,31.51,97,100,10.71,snow
8,Tuatapere,NZ,-46.1333,167.6833,50.0,92,99,1.01,overcast clouds
9,Hofn,IS,64.2539,-15.2082,44.28,78,99,4.36,overcast clouds
10,Nikolskoye,RU,59.7035,30.7861,35.6,80,75,4.47,broken clouds
11,Te Anau,NZ,-45.4167,167.7167,49.71,79,78,4.09,moderate rain
12,Batagay-Alyta,RU,67.8006,130.4114,8.71,80,13,3.69,few clouds
13,Lavrentiya,RU,65.5833,-171.0,33.28,81,22,2.86,few clouds
14,Valdobbiadene,IT,45.8993,11.9946,55.0,76,3,3.98,clear sky
15,Ushuaia,AR,-54.8,-68.3,42.8,87,75,4.61,broken clouds
16,Vaini,TO,-21.2,-175.2,82.4,83,40,3.44,scattered clouds
17,Antofagasta,CL,-23.65,-70.4,64.4,68,20,11.5,few clouds
18,Upernavik,GL,72.7868,-56.1549,29.44,84,100,4.88,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,46.4,87,75,4.61,broken clouds
20,Zeya,RU,53.75,127.2667,36.93,39,36,13.47,scattered clouds
21,Saint-Philippe,RE,-21.3585,55.7679,77.0,83,75,16.11,light rain
22,Avarua,CK,-21.2078,-159.775,84.2,70,20,18.41,few clouds
23,Port Elizabeth,ZA,-33.918,25.5701,62.6,88,0,6.91,clear sky
24,Chokurdakh,RU,70.6333,147.9167,3.4,86,58,1.21,broken clouds
25,Hare Bay,CA,48.8499,-54.0148,39.2,52,46,12.66,scattered clouds
26,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.03,81,2,13.09,clear sky
27,San Quintin,MX,30.4833,-115.95,62.33,66,11,18.68,few clouds
28,Nanortalik,GL,60.1432,-45.2371,36.3,87,14,3.62,few clouds
29,Lagoa,PT,39.05,-27.9833,57.74,78,20,32.3,few clouds
30,Ahipara,NZ,-35.1667,173.1667,66.07,63,37,9.57,scattered clouds
31,Bulaevo,KZ,54.9056,70.4439,36.21,54,100,10.83,overcast clouds
32,Uige,AO,-7.6087,15.0613,67.86,95,100,1.95,overcast clouds
33,Mahebourg,MU,-20.4081,57.7,78.8,78,40,9.22,light rain
34,Kozulka,UA,50.0351,23.797,37.4,87,75,6.71,broken clouds
